customer_reference,account_num,bank_code,amount,currency,transaction_date,recurring_type,frequency_value,start_date,user,csv
CUST0001,ACC100001,BANK667,668.76,MYR,2025-01-02,YEARLY,12,2025-01-07,bank_admin,batch_upload
CUST0002,ACC100002,BANK550,266.06,MYR,2025-01-03,YEARLY,1,2025-01-08,bank_admin,batch_upload
CUST0003,ACC100003,BANK148,1316.33,MYR,2025-01-04,WEEKLY,2,2025-01-09,bank_admin,batch_upload
CUST0004,ACC100004,BANK852,4307.14,MYR,2025-01-05,MONTHLY,3,2025-01-10,bank_admin,batch_upload
CUST0005,ACC100005,BANK734,489.21,MYR,2025-01-06,YEARLY,3,2025-01-11,bank_admin,batch_upload
CUST0006,ACC100006,BANK873,4725.17,MYR,2025-01-07,WEEKLY,12,2025-01-12,bank_admin,batch_upload
CUST0007,ACC100007,BANK311,4197.33,MYR,2025-01-08,MONTHLY,3,2025-01-13,bank_admin,batch_upload
CUST0008,ACC100008,BANK749,1855.94,MYR,2025-01-09,YEARLY,1,2025-01-14,bank_admin,batch_upload
CUST0009,ACC100009,BANK308,2089.14,MYR,2025-01-10,MONTHLY,2,2025-01-15,bank_admin,batch_upload
CUST0010,ACC100010,BANK764,3324.24,MYR,2025-01-11,WEEKLY,3,2025-01-16,bank_admin,batch_upload
CUST0011,ACC100011,BANK539,2299.59,MYR,2025-01-12,MONTHLY,3,2025-01-17,bank_admin,batch_upload
CUST0012,ACC100012,BANK553,2467.92,MYR,2025-01-13,YEARLY,1,2025-01-18,bank_admin,batch_upload
CUST0013,ACC100013,BANK659,3511.16,MYR,2025-01-14,YEARLY,2,2025-01-19,bank_admin,batch_upload
CUST0014,ACC100014,BANK918,651.47,MYR,2025-01-15,WEEKLY,2,2025-01-20,bank_admin,batch_upload
CUST0015,ACC100015,BANK241,3088.41,MYR,2025-01-16,YEARLY,6,2025-01-21,bank_admin,batch_upload
CUST0016,ACC100016,BANK658,139.11,MYR,2025-01-17,YEARLY,2,2025-01-22,bank_admin,batch_upload
CUST0017,ACC100017,BANK168,4450.85,MYR,2025-01-18,WEEKLY,12,2025-01-23,bank_admin,batch_upload
CUST0018,ACC100018,BANK409,1267.96,MYR,2025-01-19,YEARLY,12,2025-01-24,bank_admin,batch_upload
CUST0019,ACC100019,BANK349,3473.02,MYR,2025-01-20,YEARLY,1,2025-01-25,bank_admin,batch_upload
CUST0020,ACC100020,BANK281,4313.9,MYR,2025-01-21,MONTHLY,3,2025-01-26,bank_admin,batch_upload
CUST0021,ACC100021,BANK418,3718.19,MYR,2025-01-22,WEEKLY,6,2025-01-27,bank_admin,batch_upload
CUST0022,ACC100022,BANK772,4695.86,MYR,2025-01-23,WEEKLY,3,2025-01-28,bank_admin,batch_upload
CUST0023,ACC100023,BANK759,1690.45,MYR,2025-01-24,WEEKLY,1,2025-01-29,bank_admin,batch_upload
CUST0024,ACC100024,BANK175,2816.74,MYR,2025-01-25,MONTHLY,12,2025-01-30,bank_admin,batch_upload
CUST0025,ACC100025,BANK710,4092.91,MYR,2025-01-26,YEARLY,3,2025-01-31,bank_admin,batch_upload
CUST0026,ACC100026,BANK634,4703.6,MYR,2025-01-27,MONTHLY,6,2025-02-01,bank_admin,batch_upload
CUST0027,ACC100027,BANK237,1234.11,MYR,2025-01-28,MONTHLY,1,2025-02-02,bank_admin,batch_upload
CUST0028,ACC100028,BANK368,2560.97,MYR,2025-01-29,WEEKLY,2,2025-02-03,bank_admin,batch_upload
CUST0029,ACC100029,BANK430,3731.06,MYR,2025-01-30,MONTHLY,1,2025-02-04,bank_admin,batch_upload
CUST0030,ACC100030,BANK722,1073.27,MYR,2025-01-01,WEEKLY,3,2025-01-06,bank_admin,batch_upload
CUST0031,ACC100031,BANK261,4964.76,MYR,2025-01-02,WEEKLY,6,2025-01-07,bank_admin,batch_upload
CUST0032,ACC100032,BANK507,3476.46,MYR,2025-01-03,YEARLY,1,2025-01-08,bank_admin,batch_upload
CUST0033,ACC100033,BANK483,1015.11,MYR,2025-01-04,MONTHLY,6,2025-01-09,bank_admin,batch_upload
CUST0034,ACC100034,BANK787,4700.8,MYR,2025-01-05,WEEKLY,1,2025-01-10,bank_admin,batch_upload
CUST0035,ACC100035,BANK712,2540.88,MYR,2025-01-06,YEARLY,3,2025-01-11,bank_admin,batch_upload
CUST0036,ACC100036,BANK942,4521.4,MYR,2025-01-07,MONTHLY,6,2025-01-12,bank_admin,batch_upload
CUST0037,ACC100037,BANK858,4472.62,MYR,2025-01-08,YEARLY,12,2025-01-13,bank_admin,batch_upload
CUST0038,ACC100038,BANK711,1132.91,MYR,2025-01-09,YEARLY,1,2025-01-14,bank_admin,batch_upload
CUST0039,ACC100039,BANK448,2398.5,MYR,2025-01-10,MONTHLY,12,2025-01-15,bank_admin,batch_upload
CUST0040,ACC100040,BANK729,2545.6,MYR,2025-01-11,WEEKLY,1,2025-01-16,bank_admin,batch_upload
CUST0041,ACC100041,BANK684,1653.94,MYR,2025-01-12,WEEKLY,1,2025-01-17,bank_admin,batch_upload
CUST0042,ACC100042,BANK834,3336.88,MYR,2025-01-13,YEARLY,2,2025-01-18,bank_admin,batch_upload
CUST0043,ACC100043,BANK654,1567.8,MYR,2025-01-14,MONTHLY,12,2025-01-19,bank_admin,batch_upload
CUST0044,ACC100044,BANK485,2099.27,MYR,2025-01-15,YEARLY,12,2025-01-20,bank_admin,batch_upload
CUST0045,ACC100045,BANK276,725.48,MYR,2025-01-16,WEEKLY,6,2025-01-21,bank_admin,batch_upload
CUST0046,ACC100046,BANK166,807.65,MYR,2025-01-17,WEEKLY,1,2025-01-22,bank_admin,batch_upload
CUST0047,ACC100047,BANK674,1068.6,MYR,2025-01-18,YEARLY,1,2025-01-23,bank_admin,batch_upload
CUST0048,ACC100048,BANK150,1886.14,MYR,2025-01-19,YEARLY,6,2025-01-24,bank_admin,batch_upload
CUST0049,ACC100049,BANK448,803.69,MYR,2025-01-20,MONTHLY,2,2025-01-25,bank_admin,batch_upload
CUST0050,ACC100050,BANK370,447.2,MYR,2025-01-21,YEARLY,3,2025-01-26,bank_admin,batch_upload
CUST0051,ACC100051,BANK186,3421.16,MYR,2025-01-22,WEEKLY,3,2025-01-27,bank_admin,batch_upload
CUST0052,ACC100052,BANK225,4731.91,MYR,2025-01-23,MONTHLY,1,2025-01-28,bank_admin,batch_upload
CUST0053,ACC100053,BANK936,328.67,MYR,2025-01-24,MONTHLY,3,2025-01-29,bank_admin,batch_upload
CUST0054,ACC100054,BANK694,1868.73,MYR,2025-01-25,YEARLY,2,2025-01-30,bank_admin,batch_upload
CUST0055,ACC100055,BANK508,2671.28,MYR,2025-01-26,MONTHLY,2,2025-01-31,bank_admin,batch_upload
CUST0056,ACC100056,BANK626,2992.89,MYR,2025-01-27,MONTHLY,1,2025-02-01,bank_admin,batch_upload
CUST0057,ACC100057,BANK363,3080.57,MYR,2025-01-28,WEEKLY,3,2025-02-02,bank_admin,batch_upload
CUST0058,ACC100058,BANK996,1112.49,MYR,2025-01-29,WEEKLY,3,2025-02-03,bank_admin,batch_upload
CUST0059,ACC100059,BANK218,3240.27,MYR,2025-01-30,YEARLY,1,2025-02-04,bank_admin,batch_upload
CUST0060,ACC100060,BANK693,2409.48,MYR,2025-01-01,YEARLY,1,2025-01-06,bank_admin,batch_upload
CUST0061,ACC100061,BANK990,2874.7,MYR,2025-01-02,WEEKLY,6,2025-01-07,bank_admin,batch_upload
