Customer Reference,Account Num,Bank Code,Amount,Currency,Transaction Date,Recurring Type,Frequency Value,Start Date,username,phone_num,item_name
CUST0000,ACC100000,DBS,25.41,SGD,2026-01-01,MONTHLY,1,2026-01-01,user0,80000000,ProductA
CUST0001,ACC100001,UOB,395.19,SGD,2026-01-02,MONTHLY,1,2026-01-02,user1,80000001,Subscription
CUST0002,ACC100002,OCBC,76.27,SGD,2026-01-03,WEEKLY,1,2026-01-03,user2,80000002,ProductA
CUST0003,ACC100003,DBS,350.03,SGD,2026-01-04,WEEKLY,2,2026-01-04,user3,80000003,ServiceFee
CUST0004,ACC100004,OCBC,388.83,SGD,2026-01-05,MONTHLY,1,2026-01-05,user4,80000004,ProductA
CUST0005,ACC100005,DBS,394.33,SGD,2026-01-06,MONTHLY,4,2026-01-06,user5,80000005,Subscription
CUST0006,ACC100006,UOB,120.17,SGD,2026-01-07,MONTHLY,1,2026-01-07,user6,80000006,ProductA
CUST0007,ACC100007,DBS,474.51,SGD,2026-01-08,MONTHLY,1,2026-01-08,user7,80000007,ProductA
CUST0008,ACC100008,OCBC,47.83,SGD,2026-01-09,WEEKLY,2,2026-01-09,user8,80000008,ServiceFee
CUST0009,ACC100009,DBS,60.85,SGD,2026-01-10,WEEKLY,1,2026-01-10,user9,80000009,ProductA
CUST0010,ACC100010,OCBC,467.78,SGD,2026-01-11,MONTHLY,4,2026-01-01,user10,80000010,ServiceFee
CUST0011,ACC100011,OCBC,155.9,SGD,2026-01-12,MONTHLY,2,2026-01-02,user11,80000011,Subscription
CUST0012,ACC100012,DBS,350.97,SGD,2026-01-13,MONTHLY,2,2026-01-03,user12,80000012,Subscription
CUST0013,ACC100013,UOB,168.19,SGD,2026-01-14,WEEKLY,1,2026-01-04,user13,80000013,ServiceFee
CUST0014,ACC100014,DBS,96.56,SGD,2026-01-15,MONTHLY,1,2026-01-05,user14,80000014,ServiceFee
CUST0015,ACC100015,DBS,83.41,SGD,2026-01-16,MONTHLY,4,2026-01-06,user15,80000015,ServiceFee
CUST0016,ACC100016,DBS,214.48,SGD,2026-01-17,MONTHLY,1,2026-01-07,user16,80000016,Subscription
CUST0017,ACC100017,DBS,376.46,SGD,2026-01-18,MONTHLY,2,2026-01-08,user17,80000017,ServiceFee
CUST0018,ACC100018,OCBC,465.62,SGD,2026-01-19,MONTHLY,4,2026-01-09,user18,80000018,ProductA
